sample global_ancestry
R19 0.054973
PL_N20 0.287861
PL_N25 0.070524
PL_N26 0.139304
PL_N27 0.460041
PL_N28 0.032411
por004 0.191679
NEO43 0.350435
NEO933 0.118375
NEO935 0.260204
NEO624 0.290346
NEO626 0.191103
NEO627 0.237389
LD1174 0.274158
Pal7 0.000010
atp016 0.224978
RISE1170 0.274964
Fussels_Lodge_1 0.200908
ans003 0.344744
ans005 0.266603
ans008 0.235420
CabecoArruda117B 0.263994
NEO744 0.126603
Es97-1 0.272488
NEO121 0.222592
prs010 0.255207
prs012 0.295422
prs013 0.183481
prs016 0.273675
RISE1250 0.327592
RISE1252 0.310218
CB13 0.000010
RISE1254 0.302650
lai001 0.188486
R104 0.158886
MonteGato104 0.272193
NEO823 0.136910
NEO866 0.253929
esp005 0.272891
NEO595 0.203793
R22 0.243135
NEO597 0.291224
R24 0.113539
R25 0.140822
NEO599 0.296552
R26 0.162248
R27 0.198542
R28 0.145973
ros3 0.363915
R29 0.168617
pir001 0.217191
PL_N31 0.157976
PL_N36 0.161236
PL_N38 0.321475
atp9 0.281538
NEO942 0.457749
NEO943 0.333501
NEO945 0.299916
NEO630 0.240125
NEO674 0.000010
RISE489 0.114103
WET370 0.214685
TV3831 0.243535
BurnGround 0.263132
TV32032extra 0.213315
atp12-1420 0.245961
ans016 0.444184
ans017 0.358294
Carsington_pasture_1 0.240594
NEO790 0.431361
Jubilee_cave 0.212165
NEO753 0.206687
NEO757 0.354993
NEO717 0.120776
NEO137 0.044696
kol6 0.000010
LU339 0.228599
ValeOuro10207 0.252948
CabecoArruda122A 0.173115
BLP10 0.212855
NEO830 0.146798
ros005 0.347240
BERG02-2 0.245892
c40331 0.200468
R2 0.000010
R3 0.000010
R4 0.062634
R5 0.141064
R6 0.167989
R8 0.000010
R9 0.000010
CovaMoura9B 0.245666
PSS4693 0.183017
NEO23 0.203428
NEO25 0.430085
NEO28 0.176398
NEO29 0.164749
NEO640 0.205934
NEO641 0.223573
NEO609 0.290537
Ballynahatty 0.279106
Stuttgart 0.069632
RISE1159 0.312678
Sch72-15 0.000010
NEO721 0.273893
Mor6 0.225670
NE1 0.038305
NE2 0.062726
NEO140 0.060095
NEO142 0.202915
NE5 0.127204
R1014 0.130154
NE6 0.021131
NE7 0.108932
NEO145 0.041538
NEO147 0.056250
Klei10 0.054612
ROS78 0.115757
BUCH2 0.094800
COV20126 0.376868
LD270 0.381723
Aveline_1 0.262555
CovaMoura364 0.238455
Kelco_cave 0.204453
NEO886 0.344065
NEO847 0.302266
mur 0.135625
LugarCanto41 0.196696
LugarCanto42 0.245977
LugarCanto44 0.214309
CO1 0.106931
PL_N18 0.248324
PL_N19 0.015650
Embo_1 0.231308
bal004 0.278118
Coldrum_1 0.258824
Schw432 0.045185
BERG157-2 0.190461
BERG157-7 0.093903
NEO36 0.258613
NEO39 0.323312
NEO925 0.191015
NEO653 0.286174
NEO695 0.074364
CaveHa3_1 0.247069
NEO655 0.000010
Gok2 0.294137
RISE1161 0.360792
RISE1165 0.460055
RISE1166 0.331646
RISE1168 0.380826
Rev5 0.002869
ROS102 0.270296
mid001 0.261583
mid002 0.245096
MDV248 0.000010
prs002 0.142270
NEO119 0.260308
prs003 0.211943
prs006 0.201962
prs009 0.165984
ROS45 0.056851
RISE1241 0.388170
RISE1246 0.169398
RISE1248 0.387902
RISE1249 0.354802
san216 0.277282
NEO891 0.323263
NEO812 0.171187
CRE20D 0.243861
NEO896 0.371067
R10 0.000010
QUIN234 0.278695
R16 0.000010
R17 0.030551
R18 0.055234
