sample global_ancestry
R3 0.156450643281803
R17 0.203305710021635
R19 0.186611140431511
R18 0.178598515960589
R16 0.202114738685335
R10 0.157355886351801
R2 0.170683755605342
R9 0.152019670687251
MDV248 0.170164726277564
ROS45 0.216908822100513
ROS78 0.215387559373809
Sch72-15 0.177462593189357
Schw432 0.177294826133913
NEO137 0.148428407156663
NEO140 0.186383955877264
NEO145 0.19056065652841
NEO147 0.170922299387301
NEO695 0.166922103659069
NEO674 0.181135118887425
R8 0.163615694608037
kol6 0.179369195871532
NEO655 0.147147435785412
PL_N36 0.230146691319103
NE5 0.192109880431022
PL_N31 0.218541929530846
NE1 0.201336194693668
Stuttgart 0.159854042661764
NE6 0.160386178790749
PL_N25 0.215390180734051
PL_N26 0.194762696995222
PL_N19 0.20574619640629
Pal7 0.141984229896788
PL_N28 0.205694642988211
Rev5 0.13855898584815
Klei10 0.140458598236349
NE2 0.199353572564494
PL_N27 0.218356686740461
NE7 0.206730080283526
NEO119 0.252961263285927
NEO886 0.323303717787852
NEO925 0.296494192813279
NEO653 0.27789564190122
TV3831 0.265506219614066
COV20126 0.273830785953703
NEO896 0.290947394542677
NEO43 0.314086141392676
NEO39 0.282246226115039
TV32032extra 0.282995061357305
NEO744 0.257128352282855
MonteGato104 0.270935056673808
NEO830 0.22827241874657
NEO757 0.297173998902524
atp9 0.273465543093415
QUIN234 0.294412832781683
ROS102 0.248009513790102
NEO640 0.251980000768932
NEO609 0.261923693950949
NEO599 0.310203906875304
NEO597 0.314920607736158
NEO595 0.280200691340074
ans016 0.288111082761586
NEO945 0.356282177196962
NEO25 0.350655864332375
ans005 0.28074768184376
NEO721 0.265719423580359
NEO943 0.323771193697551
NEO942 0.349224601640622
NEO753 0.261005344079745
esp005 0.283755255827284
pir001 0.28464564452258
por004 0.26542670502008
san216 0.276120981017857
ans003 0.295759338158966
ValeOuro10207 0.276535155935983
NEO121 0.26075981000381
NEO28 0.274060591868191
NEO36 0.2898551611088
NEO29 0.283328847894698
NEO23 0.24493203686681
WET370 0.248410581907022
NEO866 0.298416523656902
NEO891 0.270215056394197
ans017 0.308922061717306
CO1 0.23215552705069
RISE489 0.226602612272859
NEO641 0.234261353111205
NEO630 0.252134661023169
NEO627 0.253345729454652
NEO626 0.249031844284211
NEO624 0.260509906994139
NEO717 0.253503884855878
NEO935 0.279792632929178
NEO933 0.285580596341979
Aveline_1 0.260856800332738
NEO142 0.233259993499027
BurnGround 0.253051263320879
CaveHa3_1 0.261572431678614
Coldrum_1 0.267502822331193
Embo_1 0.258800780116808
Fussels_Lodge_1 0.261681655022002
Jubilee_cave 0.258630391701123
Kelco_cave 0.261306800507495
Ballynahatty 0.257241070773231
PL_N18 0.250277864185578
PSS4693 0.230330186535995
PL_N38 0.267768453502312
Carsington_pasture_1 0.249537766810783
PL_N20 0.255794079920031
Mor6 0.224418145405105
ros3 0.260515149714621
RISE1161 0.287692538909724
RISE1165 0.26996690095802
RISE1166 0.28989448151242
RISE1249 0.272633698110174
RISE1248 0.289067879249662
RISE1246 0.257608934993761
RISE1252 0.28240875045
RISE1250 0.272778746710193
RISE1254 0.275996029513021
Gok2 0.272105930914925
NEO847 0.259636120247037
ros005 0.275527679816575
R1014 0.230193875803447
R104 0.221476979214361
RISE1159 0.274069329735662
RISE1170 0.279456225031544
RISE1168 0.278578069350707
mur 0.220263289422637
lai001 0.257072429931041
mid001 0.261708742411162
mid002 0.265530685642985
prs002 0.255949613961015
prs003 0.270086609742373
prs006 0.26520651075981
prs009 0.247126115388783
NEO823 0.202522797096232
prs010 0.277920107930139
prs013 0.248173785698558
prs016 0.237167567832065
ans008 0.293020016706803
CB13 0.208522216901832
atp016 0.236827664787443
atp12-1420 0.287985257470003
c40331 0.250560971091639
prs012 0.257802915651618
LugarCanto44 0.28104302176428
RISE1241 0.278630496555533
R22 0.240247666115599
BERG157-2 0.245204658331906
BERG157-7 0.242137666849579
CabecoArruda117B 0.281197682018517
BLP10 0.228581739255044
BUCH2 0.226730185137936
NEO812 0.246011163499481
CRE20D 0.228822030610497
LugarCanto42 0.268072531290303
LU339 0.263294665357152
LD270 0.265011656315206
LD1174 0.288041179821817
CabecoArruda122A 0.268789036422927
CovaMoura364 0.281333992751065
Es97-1 0.295120600046835
NEO790 0.261144276172534
CovaMoura9B 0.265265928258613
R6 0.253794855842662
bal004 0.252801360311208
R24 0.225992709123382
R25 0.225194941823278
R26 0.222614649559087
R27 0.221991639608404
R29 0.210679596380426
R28 0.240707277944574
R4 0.199747650387437
R5 0.209265809423615
LugarCanto41 0.298731086885859
BERG02-2 0.233424265407482
