Individual ID	Age average
baa01	1,909
bab01	2,041
I9133	1,970
I9028	2,103
I9134	1,199
ela01	493
new01	418
mfo01	378
cha01	365
I10871	7,885
I10873	3,065
Mota	4,472
gun008	1,015
gun005	994
gun012	1,329
gun011	1,159
gun002	861
Klei10	6,063
Pal7	6,351
Rev5	8,301
ST3	14,800
R11	11,908
R7	10,682
R15	9,125
R2	7,984
R3	7,730
R8	7,724
R10	7,629
R9	7,496
R6	7,160
R4	4,865
R5	4,840
NEO834	7,410
NEO695	7,294
R18	7,299
R19	7,233
R17	7,224
R16	7,208
R24	5,450
R25	4,150
R26	4,150
R27	4,150
R28	4,150
R29	4,150
R22	3,896
NEO830	5,393
R1014	4,950
NEO828	4,746
RISE487	5,245
RISE489	4,693
RISE486	3,904
NEO806	3,013
NEO823	4,665
R1	2,835
R1016	2,750
R473	2,600
R474	2,600
R475	2,600
R850	2,600
R851	2,600
R1021	2,600
R435	2,350
R437	2,250
R1015	2,800
R111	1,850
R113	1,850
R114	1,850
R115	1,850
R116	1,850
R131	1,850
R80	1,874
R75	1,850
R76	1,850
R78	1,850
R81	1,850
R436	1,850
R42	1,879
R39	1,851
R37	1,750
R38	1,750
R40	1,750
R41	1,750
R43	1,750
R44	1,750
R45	1,750
R50	1,761
R49	1,750
R51	1,750
R47	1,668
R835	1,814
R836	1,814
R66	1,750
R67	1,750
R68	1,750
R69	1,750
R70	1,750
R71	1,750
R72	1,750
R73	1,750
R1543	1,750
R1544	1,750
R1545	1,750
R1551	1,817
R1547	1,814
R1548	1,814
R1549	1,814
R1550	1,814
R123	1,762
R125	1,750
R128	1,750
R126	1,663
R132	1,719
R130	1,550
R133	1,550
R134	1,550
R136	1,550
R137	1,550
R31	1,575
R30	1,450
R32	1,450
R33	1,450
R34	1,450
R35	1,450
R36	1,450
R105	1,450
R106	1,450
R107	1,450
R108	1,450
R109	1,450
R110	1,450
R104	1,450
R117	1,450
R118	1,450
R120	1,450
R121	1,450
R122	1,450
R60	1,045
R59	1,045
R63	960
R58	850
R57	840
R65	840
R64	840
R62	735
R52	595
R53	595
R55	595
R56	595
R61	595
R54	595
R1283	1,091
R1285	946
R1290	603
R1287	521
R1288	521
R1289	521
R1286	521
R1219	510
R1220	465
R1221	465
R1224	465
VK534	800
VK535	713
VK536	700
VK537	700
VK538	700
R970	300
R973	300
R969	300
NEO694	9,522
Chan	9,131
Brana	7,815
NEO646	8,274
NEO938	7,878
NEO648	7,524
Canes1	7,115
CB13	7,348
mur	7,136
LD1174	6,415
COV20126	5,588
san216	5,666
c40331	5,650
por002	5,091
atp016	5,040
por004	4,955
atp12-1420	4,896
atp002	4,740
NEO721	4,495
pir001	3,725
atp9	3,634
esp005	3,370
NEO649	4,116
NEO650	4,110
NEO653	3,418
NEO632	7,347
NEO631	7,135
LU339	6,798
LD270	6,336
LugarCanto41	5,950
LugarCanto42	5,950
LugarCanto44	5,950
DolmenAnsiao96B	5,450
CabecoArruda117B	5,050
CabecoArruda122A	5,050
CovaMoura364	4,900
CovaMoura9B	4,900
NEO603	4,337
NEO609	4,331
MonteGato104	3,535
ValeOuro10207	3,550
TV32032extra	3,550
TV3831	3,550
Stuttgart	7,140
RISE446	4,597
RISE563	4,492
RISE559	4,284
FN2	1,650
Alh1	1,500
Alh10	1,489
NW54	1,491
STR486	1,455
STR220c	1,445
STR300b	1,430
STR310	1,430
Bichon	13,665
Loschbour	8,050
PER1150503	9,067
PER3023	9,067
PER3123	9,067
Schw432	7,100
Sch72-15	7,037
Mor6	7,036
MDV248	7,016
ROS45	6,643
ROS102	6,550
ROS78	6,550
NEO812	6,545
NEO813	6,541
BUCH2	6,250
BERG157-7	6,132
BERG157-2	6,050
BERG02-2	5,870
WET370	5,521
CRE20D	6,151
BLP10	6,052
Es97-1	6,005
PSS4693	5,439
NEO121	4,527
NEO119	4,382
PEI2	4,386
CBV95	4,463
PSS4170	4,037
EUG11	3,903
BIS130	3,850
BIS385	3,850
OBE3722	3,800
OBE3626-1	3,764
QUIN58	3,600
QUIN234	3,600
RIX4	3,640
RIX15	3,600
RIX2	3,600
NEO120	3,359
NIED	2,812
NOR2B6	2,700
NOR3-15	2,700
NOR3-6	2,510
Jeb8	2,450
PECH8	2,400
PT2	2,375
COL11	2,290
COL153A	2,290
ERS1164	2,200
ERS86	2,200
ERS88	2,200
BES1248	2,075
ATT26	2,225
BFM265	2,170
PEY163	2,250
PEY53	2,125
Cheddar_man	10,300
BurnGround	5,770
Fussels_Lodge_1	5,658
Carsington_pasture_1	5,539
NEO847	5,461
mid001	5,450
mid002	5,180
Coldrum_1	5,430
Aveline_1	5,490
Jubilee_cave	5,463
Kelco_cave	5,536
CaveHa3_1	5,264
bal004	5,190
lai001	5,180
NEO627	5,132
NEO626	5,082
NEO625	5,080
NEO630	4,897
NEO624	4,897
NEO717	4,850
Embo_1	5,050
M1489	2,035
12880A	2,017
12884A	1,995
15579A	1,745
3DT16	1,750
3DT26	1,750
6DT18	1,750
6DT21	1,750
6DT22	1,750
6DT23	1,750
6DT3	1,750
15569A	1,490
15570A	1,483
15577A	1,478
15558A	1,455
12883A	1,247
12881A	1,232
12885A	1,165
NO3423	1,170
VK143	1,010
VK144	1,010
VK145	1,010
VK146	1,010
VK147	1,010
VK150	1,010
VK151	1,010
VK165	1,010
VK166	1,010
VK167	1,010
VK168	1,010
VK172	1,010
VK173	1,010
VK174	1,010
VK175	1,010
VK176	1,010
VK177	1,010
VK178	1,010
VK170	950
VK256	953
VK257	953
VK258	953
VK259	953
VK260	953
VK261	953
VK262	953
VK263	953
VK264	953
VK449	953
VK203	900
VK207	900
VK201	900
VK202	900
VK204	900
VK205	900
VK171	850
prs002	5,675
prs017	5,665
prs012	5,660
prs003	5,660
